ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,manual_label,confidence,notes
1495,Romania,11/16/2022,28000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 28,000 on Raiffeisen Bank SA. 
The bank had reported several data breaches pursuant to Art. 33 GDPR to the DPA.

During its investigation, the DPA found that the bank conducted queries in a credit agency without the consent of the data subjects. 

In addition, the DPA found that the bank had granted credit to several customers without the affected customers having applied for it. 

Furthermore, the bank had inadvertently sent personal data of data subjects to wrong recipients, allowing them to access the data. 

The DPA found that the bank had failed to implement adequate technical and organizational measures to protect personal data. This resulted in unauthorized access and/or disclosure of personal data.",cyber_nonmalicious,Medium,mixed: unlawful credit-agency queries + misdirected mail
1500,Romania,11/21/2022,20000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 20,000 on ING Bank NV Amsterdam Sucursala București. 
The bank had reported a data breach to the DPA pursuant to Art. 33 GDPR. 
Several personal data of customers, such as ID card data, bank data, bank card data, etc., were accessed and disclosed without authorization. This resulted in payment transactions being carried out by unauthorized third parties. During its investigation, the DPA found that the bank had failed to implement adequate technical and organizational measures to protect personal data, which allowed the unauthorized access.",cyber_malicious,Medium,unauthorized access + fraudulent transactions
1501,Romania,11/24/2022,1000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,000 on Medicover S.R.L.. The controller had reported a data breach to the DPA pursuant to Art. 33 GDPR. The controller had inadvertently sent documents containing personal data to the wrong recipient. As a result, personal data such as the data subject's name, correspondence address, e-mail and health data were disclosed without authorization. The DPA determined that the incidents were due to the controller's failure to implement appropriate technical and organizational measures to protect the processing of personal data.",cyber_nonmalicious,High,documents to wrong recipient
1503,Romania,11/25/2022,3000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on OTP LEASING ROMANIA IFN SA. The controller had reported a data breach to the DPA pursuant to Art. 33 GDPR. 
An individual had informed the controller that they had gained unauthorized access to an IT platform operated by the controller by changing the URL address and creating an administrator account. This enabled the person to gain unauthorized access to personal data. The DPA found that the controller had failed to take appropriate technical and organizational measures to protect personal data. This resulted in unauthorized access to the personal data.",cyber_malicious,Medium,URL manipulation + admin account (exploit); reporter may be benign
1504,Spain,11/29/2022,500,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 500 on a private individual. The controller had installed video surveillance cameras which, among other things, also covered the public space and furthermore published the recorded images on Facebook. The DPA considered this to be a violation of the principle of data minimization.",not_cyber,High,CCTV + Facebook posting
1519,Ireland,1/26/2022,5000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Irish DPA has imposed a fine of EUR 5,000 on Slane Credit Union Ltd. The controller had notified the DPA of a data breach in 2018.  Due to an error in a search engine optimization tool installed on the controller's website, four reports of member inquiries containing personal member data were unintentionally published. 
The incident affected 76 members, including minors, and their personal data such as names, addresses, gender, birth dates, account numbers, etc. 

The DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data. 

In addition, the DPA concluded that the controller failed to conduct due diligence on the processor and to conclude a GDPR compliant contract with the processor.",cyber_nonmalicious,High,SEO-tool error published member reports
1522,Spain,12/9/2022,8000,"Finance, Insurance and Consulting",Insufficient legal basis for data processing,"The Spanish DPA has fined a notary. The controller had consulted the land register of a property belonging to the data subject without an order requiring the consultation of this data or the consent of the data subject. The original fine of EUR 10,000 was reduced to EUR 8,000 due to voluntary payment.",not_cyber,High,land register consulted w/o legal basis
1530,Spain,12/13/2022,56000,"Media, Telecoms and Broadcasting",Insufficient legal basis for data processing,"The Spanish DPA has imposed a fine on Vodafone España, S.A.U.. A person had filed a complaint with the DPA because the company had given a duplicate of their SIM card to an unauthorized fraudulent third party without their consent. During its investigation, the DPA found that the company failed to verify the identity of the third party or obtain the data subject's consent to share their data. The original fine of EUR 70,000 was reduced to EUR 56,000 due to voluntary payment.",cyber_malicious,High,SIM-swap fraud via failed identity verification
1539,Romania,12/22/2022,10000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 10,000 on SUDREZIDENȚIAL Broker S.R.L.. An employee of the controller had unauthorizedly published an Excel spreadsheet containing personal data, such as first name, last name, telephone number, ID number, e-mail address, bank details, etc. of 509 customers of the controller on the Internet. In the course of its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",cyber_malicious,Medium,insider deliberately published customer data — which class?
1546,Romania,1/4/2023,3000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on Apă Canal Ilfov SA. The controller sent an e-mail with personal data to several recipients in an open distribution list. This made it possible for the recipients to view the e-mail addresses of all other recipients.",cyber_nonmalicious,High,open CC distribution list
1564,Ireland,12/22/2022,100000,Industry and Commerce,Non-compliance with general data processing principles,"The Irish DPA has imposed a fine of EUR 100,000 on the nursing home operator VIEC Limited. 
The controller had notified the DPA of a data breach pursuant to Art. 33 GDPR. The controller had suffered a phishing attack in which an unauthorized third party gained access to an email account of a VIEC manager. As a result, the unknown third party also managed to access personal data such as health and biometric data of home residents. The DPA found this to be a breach of the principle of integrity and confidentiality. The DPA also found that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",cyber_malicious,High,phishing
1619,Cyprus,2022,5000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 5,000 on DW Dynamic Works LIMITED. The controller operated as a processor for Hermes Airport Ltd.. Hermes had suffered a cyberattack which, according to the DPA, was caused, among other things, by Dynamic Works' lack of technical and organizational measures to protect personal data.",cyber_malicious,High,processor blamed for Hermes cyberattack
1625,Cyprus,2022,7500,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 7,500 on DW Dynamic Works LIMITED. The controller operated as a processor for the Cypriot Ministry of Denfese. The minsitry had suffered a cyberattack which, according to the DPA, was caused, among other things, by Dynamic Works' lack of technical and organizational measures to protect personal data.",cyber_malicious,High,processor blamed for ministry cyberattack
1648,Italy,4/7/2022,10000,Health Care,Non-compliance with general data processing principles,"The Italian DPA has fined Tecnomed Trento s.r.l. EUR 10,000. The controller had operated several video surveillance cameras in its premises, some of them without the required authorization. Furthermore, the DPA found that information signs regarding the processing of personal data by the cameras were missing. The DPA also found that three individuals with shared credentials had authorized access to the recorded images. The DPA concluded that this circumstance was not appropriate to guarantee the confidentiality of the information processed by the video surveillance system, in particular it does not allow to check who carried out certain processing operations.",not_cyber,High,CCTV + shared-credential authorization issue
1655,Belgium,8/23/2022,2500,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Belgian DPA has imposed a fine of EUR 2,500 on a company. The company operates a digital management platform where suppliers and customers can communicate and upload administrative documents. An individual, who is not themselves a member of the platform, had filed a complaint with the DPA. Since the complainant's roommate is a member of the platform, the complainant asked them to upload the joint water bill, which was in the complainant's name. The platform recognized the complainant's name and sent the roommate an invitation to connect with additional companies through the platform where the complainant was a customer. Although the roommate did not accept the invitation, they were able to view various data concerning the complainant. The DPA found that the company had failed to implement appropriate technical and organizational measures to protect personal data, in order, for example, to prevent easy access to third-party data.",cyber_nonmalicious,Medium,platform design flaw exposed data
1666,Ireland,1/23/2023,460000,Health Care,Non-compliance with general data processing principles,"The Irish DPA has imposed a fine of EUR 460,000 on Centric Health Ltd.. The controller suffered a ransomware attack in which personal data such as name, date of birth and contact details were accessed, altered and destroyed without authorization. Data records of approximately 70,000 people were affected, of which 2,500 were permanently affected. 

The DPA's investigation found that the healthcare facility had failed to implement adequate technical and organizational measures to protect personal data, which facilitated such an attack.",cyber_malicious,High,ransomware
1675,Spain,2/28/2023,15000,"Finance, Insurance and Consulting",Insufficient fulfilment of data subjects rights,"The Spanish DPA has imposed a fine of EUR 15,000 on GRUPO NORCONSULTING, S.L.. A data subject had filed a complaint against the controller with the DPA due to the controller's failure to properly comply with their request for access and erasure of their personal data.",not_cyber,High,ignored access/erasure (subject rights)
1680,Romania,3/6/2023,2250,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,250 on Finopro IFN SA. The controller had suffered a ransomware attack in which unauthorized third parties gained access to personal data such as address, credit card details, bank account information, telephone numbers etc. of data subjects.  During its investigation the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",cyber_malicious,High,ransomware
1708,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on SOCIEDAD ESPAÑOLA DE RADIODIFUSIÓN, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,same rape-testimony media case
1709,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on LA VANGUARDIA EDICIONES, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,rape-testimony media case
1711,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on CONECTA5 TELECINCO, S.A.U.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,rape-testimony media case
1712,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on DISPLAY CONNECTORS, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,rape-testimony media case
1713,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on EL DIARIO DE PRENSA DIGITAL SL.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,rape-testimony media case
1716,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on UNIDAD EDITORIAL INFORMACION GENERAL S.L.U.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,same rape-testimony media case
1726,Germany,2022,,Not assigned,Insufficient fulfilment of data breach notification obligations,The DPA from Bremen has fined a company for failing to inform the DPA pursuant to Art. 33 GDPR that an employee's business email account had been hacked.,cyber_malicious,High,fined for late Art.33 notification; underlying incident = hacked email
1732,Poland,2/7/2023,321,Real Estate,Insufficient fulfilment of data breach notification obligations,"The Polish DPA has imposed a fine of EUR 321 on a housing association. 
The controller had suffered a data breach involving the theft of documents, including a copy of a notarial deed. During its investigation, the DPA found that the controller had both failed to report the data breach to the DPA in a timely manner and to notify the data subjects affected by the incident. Further, the DPA found that the controller had not adequately checked if the processor provided sufficient guarantees to implement appropriate technical and organisational measures to ensure data protection.",cyber_malicious,Low,"physical document theft — malicious but not ""cyber"""
1736,Spain,4/3/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on 20 MINUTOS EDITORA, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,rape-testimony media case
1740,Italy,3/23/2023,4000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has imposed a fine of EUR 4,000 on Azienda socio-sanitaria locale n. 1 di Sassari. The controller had mistakenly sent a document containing health data of the data subject to the wrong recipient. The DPA found that the healthcare facility had not taken sufficient technical and organizational measures to protect personal data.",cyber_nonmalicious,High,wrong recipient
1771,Greece,12/19/2022,7000,Not assigned,Insufficient fulfilment of data subjects rights,"The Hellenic DPA has imposed a fine of EUR 7,000 on the company ΜΑΡΙΑ ΠΕΔΙΩΤΗ ΚΑΙ ΣΙΑ Ο.Ε. The company had not sufficiently complied with the request for information from a person, as the information was late and incomplete. In addition, the controller did not sufficiently cooperate with the DPA.",not_cyber,High,late/incomplete info response
1797,Germany,2022,,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The DPA of Brandenburg has imposed a five-figure fine on an aid organization. The aid organization provides transportation for people with illnesses. The organization had reported a data breach to the DPA in which data of data subjects had been published due to a hack. At the time of the attack, the controller's database contained more than 80,000 records with data that included information about the health status of the data subjects. During its investigation, the DPA found that the bank had failed to take adequate technical and organizational measures to protect personal data, which allowed such a breach to occur. In addition, the DPA found that the bank had failed to conclude a processing agreement with its processors.",cyber_malicious,High,explicit hack
1808,Poland,2/8/2023,7200,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 7,200 on a company. The controller had suffered a data breach that resulted in the loss of personal data. During its investigation, the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data, which facilitated the data breach. The controller had failed to conduct certain risk analyses, for example. In addition, the DPA found that the controller failed to review its processor and ensure that it provided sufficient guarantees to protect personal data.",cyber_nonmalicious,Medium,"""loss of personal data"", cause vague"
1840,Malta,2020,2000,Not assigned,Insufficient technical and organisational measures to ensure information security,A third party has gained unauthorized access to another person's account.,cyber_malicious,Low,one line: third party accessed another's account
1847,Romania,5/12/2023,1000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,00 on the insurance company NN Asigurări de Viață S.A.. The controller had notified the authority of a data breach pursuant to Art. 33 GDPR. The controller had made a number of technical changes to its systems that allowed some website visitors to access personal data of other individuals. This led to the unauthorized access of personal data such as name, ID card number, email, etc. of two individuals. During its investigation, the DPA found that the controller had failed to take appropriate technical and organizational measures to protect personal data, which facilitated such an incident.",cyber_nonmalicious,High,technical change let visitors access others' data
1919,Romania,6/27/2023,2500,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 2,500 on Farmacia Ardealul SRL. The controller had reported a data breach to the DPA. During its investigation, the DPA found that an unauthorized installation of malware on the controller's website led to unauthorized processing of customer data (bank data). The DPA found that the controller had failed to install appropriate technical and organizational measures to protect personal data.",cyber_malicious,High,malware installed on website
1921,Greece,6/12/2023,210000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Hellenic DPA has imposed a fine of EUR 210,000 on Piraeus Bank. During its investigation, the DPA found that the bank had processed personal data of customers in violation of the principle of lawfulness. In addition, the DPA found that the bank had processed personal data without taking appropriate and effective technical and organizational measures to process only the data necessary for the specific purpose. Finally, the DPA found that the bank had failed to properly comply with a data subject's request for access to their personal data.",not_cyber,Medium,mainly lawfulness/access rights; TOM mentioned in passing
1929,Poland,5/16/2023,6700,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 6,700 on a municipality. The controller had reported a data breach to the DPA. During its investigation, the DPA found that the controller had suffered a ransomware attack, in which the attackers took advantage of a vulnerability present in the IT system. The DPA found that the controller had failed to install adequate technical and organizational measures to protect personal data, allowing such an attack to occur.",cyber_malicious,High,ransomware
1956,Spain,6/6/2023,3000,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA has fined a private individual EUR 3,000. An individual had filed a complaint with the DPA against the controller due to the fact that the controller had provided them with a false receipt that contained another customer's data and not their own. During its investigation, the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",cyber_nonmalicious,Medium,wrong receipt exposed another customer's data
1961,Poland,5/31/2023,10600,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 10,600 on a company. The company had suffered a ransomware attack on their systems which resulted in the loss of personal data. During its investigation the DPA found that the company had failed to install adequate technical and organizational measures to protect personal data, allowing such an attack to occur. Furthermore the controller failed to inform the DPA and the data subject of the incident in a timely manner.",cyber_malicious,High,ransomware
1973,Lithuania,4/20/2023,20000,Not assigned,Non-compliance with general data processing principles,"The Lithuanian DPA has fined a company EUR 20,000. The company had suffered a data breach in which personal data of 50,000 data subjects were compromised. 

During its investigation, the DPA found that the company had failed to implement appropriate technical and organizational measures to protect personal data. These included the lack of adequate access controls and authentication of IT system administrators in the controller's information systems. 
Also, the DPA found that the company failed to set an appropriate retention period for personal data.",unclear,Medium,breach mechanism not stated
1992,Spain,7/27/2023,1200,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine on FONTANORTE, S.L.. The controller had disposed of documents containing personal data in publicly accessible trash containers. The original fine of EUR 2,000 was reduced to EUR 1,200 due to voluntary payment and admission of responsibility.",cyber_nonmalicious,Medium,documents in public trash (physical disposal)
2036,Spain,9/7/2023,70000,Transportation and Energy,Insufficient legal basis for data processing,"The Spanish DPA has imposed a fine of EUR 70,000 on SUMINISTRADOR IBÉRICO DE ENERGÍA, S.L.. A customer had filed a complaint with the DPA due to the fact that the controller carried out a change of their electricity and gas supply company without obtaining their consent beforehand.",not_cyber,High,supplier switch without consent
2040,Spain,9/25/2023,600,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 600 on a private individual. The controller had installed video surveillance cameras which, among other things, also covered the public space and a neighbour property. The DPA considered this to be a violation of the principle of data minimization. In addition, the controller had not properly informed the data subjects about the processing of the data by the video surveillance and thus violated its duty to inform.",not_cyber,High,CCTV over public space
2041,Spain,9/26/2023,30000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 30,000 on EUROPA PRESS DE CATALUNYA, S.A.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",not_cyber,High,same rape-testimony media case
2045,Romania,9/26/2023,25000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 25,000 on RESTART ENERGY ONE S.A.. During its investigation, the DPA found that there existed a publicly accessible file on the controller's website containing personal data (name, surname, address, telephone numbers, email addresses, contract number and contract date) of at least 750 data subjects. The file was publicly accessible via a link generated by search engines for a period of approximately 2.5 years. The DPA concluded that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",cyber_nonmalicious,High,"public file, 2.5 years"
2072,France,10/12/2023,600000,"Media, Telecoms and Broadcasting",Insufficient fulfilment of data subjects rights,"The French DPA has imposed a fine of EUR 600,000 on GROUPE CANAL+ for multiple violations of the GDPR. The DPA determined that the data controller failed to demonstrate that it had obtained valid prior consent from individuals for sending electronic promotional messages. Additionally, the DPA found that the data controller did not provide adequate information regarding the retention periods of personal data in its privacy statement. Furthermore, the DPA observed that the data controller's processors did not furnish sufficient information to potential customers during marketing calls. Moreover, the DPA found that the data controller did not adequately respond to requests from data subjects in certain cases. In addition, the data controller failed to establish contractual regulations for the processing of personal data by its processors. Finally, the DPA noted that the controller had not properly secured passwords for the company's employees and failed to report a data breach. In determining the amount of the fine, the DPA considered the violations identified, as well as the company's cooperation and corrective actions taken during the proceedings to ensure compliance.",not_cyber,Medium,mixed; mainly consent/marketing/subject-rights
2081,Romania,10/2/2023,1000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,000 on Cez Vânzare S.A.. The controller had accidentally sent emails containing personal customer data to the wrong recipients. 
The DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",cyber_nonmalicious,High,emails to wrong recipients
2084,Italy,8/31/2023,10000,Health Care,Non-compliance with general data processing principles,"The Italian DPA has fined Mednow Medical Center di Giugni Marco EUR 10,000. An individual had filed a complaint with the DPA because the controller had inadvertently sent the results of a medical examination to the wrong recipient. In addition, the controller had failed to properly fulfill the individual's data subject rights and only complied with the data subject's requests upon the DPA's notice.",cyber_nonmalicious,High,results to wrong recipient
2108,Italy,9/28/2023,50000,Health Care,Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 50,000 on Azienda Usl Toscana centro. A person had reported that medical records containing sensitive patient data were still being stored in one of the healthcare facility's former and vacant buildings which were publicly accessible.",cyber_nonmalicious,Medium,records left in publicly accessible vacant building (physical)
2109,Italy,9/28/2023,5000,Public Sector and Education,Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 5,000 on Ministero dell'Ambiente e della Sicurezza Energetica. The controller had published a document on its website that contained numerous data, including employee health data, without a valid legal basis. The document was publicly accessible for 16 days.",cyber_nonmalicious,Low,health data publicly accessible 16 days; borderline unlawful publication
2284,Greece,2/28/2024,2995140,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Hellenic DPA has imposed a fine of EUR 2,995,140 on the Hellenic Post (ΕΛΛΗΝΙΚΑ ΤΑΧΥΔΡΟΜΕΙΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ). The controller had suffered a data breach which resulted in personal data being accessed and later published on the Dark Web. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to prevent such an incident.",cyber_malicious,Medium,"data breach + published on dark web; attack implied, mechanism not stated"
2306,Italy,2/8/2024,79100000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has fined Enel Energia SpA EUR 79.1 million due to its lack of compliance with technical and organisational measures aimed at limiting the potential abuses by agencies that unlawfully performed telemarketing activities. According to the DPA, Enel Energia acquired as many as 978 contracts from four different previously sanctioned companies, even though they did not belong to the energy company’s sales network. Moreover, following subsequent inspections at Enel Energia, the DPA ascertained that the information systems used for customer management and service activation by the company showed the abovementioned serious security shortcomings. Enel failed to put in place all the necessary measures to prevent the unlawful activities of unauthorised agents who fuelled for years an illicit business carried out through nuisance calls, service promotions, and the signing of contracts with no real economic benefits for customers by identifying easy ‘front doors’ in the company’s information systems.",cyber_malicious,Low,"rogue agents exploited system ""front doors"" for telemarketing — borderline not_cyber"
2326,Poland,4/30/2024,210,Individuals and Private Associations,Insufficient fulfilment of data breach notification obligations,The Polish DPA has fined an association EUR 210 for failing to report a data breach to the DPA in a timely manner.,unclear,Low,late breach reporting; no breach detail
2397,Spain,6/26/2024,80000,Real Estate,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine on AXA REAL ESTATE INVESTMENT MANAGERS IBERICA S.A. y SEUR GEOPOST, S.L.. The controller had suffered a security incident which, according to the DPA, had occurred due to the company's failure to implement appropriate technical and organizational measures to protect personal data. The original fine of EUR 100,000 was reduced to EUR 80,000 due to voluntary payment.",unclear,Medium,"""security incident"" - unspecified"
2407,Spain,5/28/2024,70000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 70,000 on CAIXABANK S.A.. A person had filed a complaint with the DPA because an employee of the controller had accidentally disclosed tax data of the data subject to their ex-spouse without their consent.",cyber_nonmalicious,Medium,employee accidentally disclosed tax data to ex-spouse
2477,Romania,8/20/2024,8000,Accomodation and Hospitality,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has fined Ana Hotels SRL EUR 8,000. The controller had suffered a data breach which resulted in the unauthorized disclosure of personal data processed and stored in their IT systems. The DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",unclear,Medium,"""unauthorized disclosure"" — hack or leak?"
2484,Ireland,12/17/2024,251000000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Irish Data Protection Commission (DPC) has fined Meta Platforms Ireland Limited EUR 251 million. The fine was imposed for data protection violations related to a data breach that occurred in 2018 and affected 29 million Facebook accounts worldwide, including 3 million in the EU/EEA. Compromised data included names, email addresses, phone numbers, and children's data. The breach resulted from the exploitation of user tokens on the platform by unauthorized third parties. The DPC found that Meta had violated Art. 33 GDPR (EUR 11 million), as information was missing from the data breach notification, for example. The DPC also found violations of Art. 25 GDPR (EUR 240 million), concluding that Meta had failed to ensure that data protection principles were protected in the design of processing systems and had failed in its obligations as a controller to ensure that, by default, only personal data that are necessary for specific purposes are processed.",cyber_malicious,High,token exploitation by third parties
2506,Finland,12/17/2024,950000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Finnish DPA has imposed a fine of EUR 950,000 on Sambla Group Oy. Security vulnerabilities in two of its comparison portals allowed unauthorized persons to access personal data, such as income, housing costs, and marital status of credit applicants, via unsecured links.",cyber_nonmalicious,Medium,unsecured links exposed data; no attacker stated
2508,Spain,9/26/2024,1300000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 1.3 million on TELEFÓNICA DE ESPAÑA SAU. The controller had reported a security incident to the DPA, stating that they had suffered a cyber attack that allowed unauthorised third parties to access personal customer data via an employee's account. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organisational measures to protect personal data that could have prevented such an incident. The fine is composed as follows: EUR 500,000 for the violation of Art. 5 (1) f) GDPR and EUR 800,000 for the violation of Art. 32 GDPR.",cyber_malicious,High,cyber attack via employee account
2532,Spain,12/27/2023,6500000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 6.5 million on THE PHONE HOUSE SPAIN, S.L. The controller had suffered a ransomware attack affecting personal data of 13 million individuals (e.g. customers and employees), which was exfiltrated and published on the deep web. The DPA's investigation revealed that the controller had failed to implement appropriate technical and organisational measures to protect personal data, in order to prevent such an incident.",cyber_malicious,High,ransomware
2537,Spain,1/17/2025,16000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DEL
SUR, S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 20,000 was reduced to EUR 16,000 due to voluntary payment.",cyber_malicious,High,cyber attack
